Year,Applications outstanding at beginning of year,Applications received during the year.,Applicants assessed by Committees as 'Highly Recommended'.,Applicants assessed by Committees as 'Recommended'.,Applicants assessed by Committees as 'Unable to Recommend'.,Applications from Provincial or Territorial Court Judges. (Note: these candidates are not assessed. Committees comment only.),Applicants who withdrew.,Applicants appointed as superior court judges.,Applications outstanding at end of year,Number of Advisory Committee meetings held across Canada.
2005,269,562,62,170,295,54,6,38,206,51
2006,206,481,76,151,325,16,3,32,108,50
2007,108,550,,146,236,21,6,75,249,53
2008,249,552,,228,332,23,7,63,211,54
2009,211,460,,171,292,14,2,68,192,46
2010,192,441,,152,227,19,0,74,235,52
2011,235,428,,154,282,10,1,46,167,51
2012,167,515,,221,254,22,3,43,185,52
2013,185,495,,132,168,21,8,52,359,42
2014,359,527,,300,335,29,7,66,222,61
2015,222,403,,150,220,15,7,96,240,44
2016,240,552,,92,104,13,13,34,0,20
