Company name,Date of Initial Order,Monitor,Representative,Phone Number,URL
"Medican Construction, et al.",2010-05-26,Deloitte Restructuring Inc.,Cassie Poon,403-267-1817,www.insolvencies.deloitte.ca/en-ca/Medican
"Marine Drive Properties LTD., Wyndansea Development Corporation and Wyndansea Hotel Inc.",2015-01-06,Ernst & Young Inc.,Michael Andrew Bell,604-891-8200,www.ey.com/ca/marinedrive
"GASFRAC Energy Services Inc., GASFRAC Services GP Inc., GASFRAC Energy Services (US) Inc., GASFRAC US Holdings Inc., and GASFRAC Inc.",2015-01-15,Ernst & Young Inc.,Harold Peter Chisolm,403-206-5061,www.ey.com/ca/gasfracenergy
"Target Canada Co., et al",2015-01-15,Alvarez & Marsal Canada Inc.,Alan John Hutchens,416-847-5159,http://www.alvarezandmarsal.com/targetcanada
"Hush Homes Inc., Hush Inc., 2122763 Ontario Inc., 2142301 Ontario Inc., 2164566 Ontario Inc.",2015-01-19,The Fuller Landau Group Inc.,Gary Frank Abrahamson,416-645-6524,https://fullerllp.com/active_engagements/hush-homes-inc-o-a-gardens-of-coronation-hush-inc-2122763-ontario-inc-o-a-thorny-brae-place-2142301-ontario-inc-o-a-silverthorn-mill-2/
"Southern Pacific Resource Corp., Southern Pacific Energy Ltd., 1614789 Alberta Ltd., 1717712 Alberta Ltd., and Southern Pacific Resource Partnership.",2015-01-21,PricewaterhouseCoopers Inc.,Paul James Darby,403-509-6677,www.pwc.com/car-stp
"Lutheran Church-Canada, the Alberta-British Columbia District, Lutheran Church-Canada, the Alberta-British Columbia District Investments Ltd., Encharis Community and Housing Services and Encharis Management and Support Services",2015-01-23,Deloitte Restructuring Inc.,Ryan Adlington,403-261-8135,http://www.insolvencies.deloitte.ca/en-ca/Pages/default.aspx
"Bloom Lake General Partner Limited, Quinto Mining Corporation, 8568391 Canada Limited, Cliffs Quebec Iron Mining ULC, The Bloom Lake Iron Ore Mine Limited Partnership, Bloom Lake Railway Company Limited",2015-01-27,FTI Consulting Canada Inc.,JAMES ROBINSON,416-649-8070,http://cfcanada.fticonsulting.com/bloomlake/
Mady Collier Centre Ltd.,2015-01-30,Grant Thornton Limited,Jonathan Krieger,416-360-5055,http://www.grantthornton.ca/services/reorg/  bankruptcy_and_insolvency/Madycollier
"Plasco Energy Group Inc., Plasco Trail Road Inc. and Plasco Ottawa Inc.",2015-02-10,Ernst & Young Inc.,Brian Michael Denega,416-943-3058,www.ey.com/ca/plasco
CMIC Mortgage Investment Corporation,2015-02-13,The Bowra Group Inc.,David Bowra,604-689-8939,
Minéraux Maudore ltée,2015-02-27,Deloitte Restructuring Inc.,Jean-François Nadon,514-390-0959,http://www.insolvencies.deloitte.ca/en-ca/Pages/Maudore-Minerals-Ltd.aspx
Yukon Zinc Corporation,2015-03-13,PricewaterhouseCoopers Inc.,Michael Vermette,604-806-7675,http://www.pwc.com/ca/en/car/  yukonzinc/index.jhtml
Comark Inc.,2015-03-26,Alvarez & Marsal Canada Inc.,John Walker,416-847-5152,http://www.alvarezandmarsal.com/comark-inc/
"Laricina Energy Ltd., Laricina GP Holding Ltd., 1276158 Alberta Inc.",2015-03-26,PricewaterhouseCoopers Inc.,Clinton L.T. Roberts,403-509-7307,www.pwc.com/car-laricina
"Labrador Iron Mines Holdings Limited, Labrador Iron Mines Limited, and Schefferville Mines Inc.",2015-04-02,KSV Kofman Inc.,Robert Kofman,416-932-6228,https://www.ksvadvisory.com/insolvency-cases/case/labrador-iron-mines-holdings-limited
Advance Engineered Products Ltd.,2015-04-10,Ernst & Young Inc.,Mike Bell,604-899-3566,www.ey.com/ca/aepl
Shoreline Energy Corp.,2015-04-13,Grant Thornton Limited,Nathan Bell,403-260-2529,https://www.grantthornton.ca/en/service/advisory/creditor-updates/#Shoreline-Energy-Corp
"Armtec Infrastructure Inc., Armtec Holdings Limited, Durisol Consulting Services Inc., Armtec US Limited, Inc. and Armtec Limited Partner Corp.",2015-04-29,Ernst & Young Inc.,Sharon Hamilton,416-943-2153,www.ey.com/ca/armtec
Great Western Minerals Group Ltd.,2015-04-30,PricewaterhouseCoopers Inc.,Gregory Prince,416-814-5752,http://www.pwc.com/car-greatwesternmineralsgroup
Verity Energy Ltd.,2015-05-01,Grant Thornton Limited,Andrew Basi,403-296-2992,https://www.grantthornton.ca/en/service/advisory/creditor-updates/#Verity-Energy-Ltd
"Nelson Education Ltd., Nelson Education Holdings Ltd.",2015-05-12,FTI Consulting,Nigel Meakin,416-649-8070,http://cfcanada.fticonsulting.com/NelsonEducationLtd/
"Wabush Iron Co. Limited, Wabush Resources Inc., Wabush Mines, Arnaud Railway Company, Wabush Lake Railway Company, Limited",2015-05-20,FTI Consulting Canada Inc.,JAMES ROBINSON,416-649-8070,http://cfcanada.fticonsulting.com/bloomlake/
TravelBrands Inc.,2015-05-27,KPMG Inc.,Philip Joseph Reynolds,416-777-8415,https://home.kpmg/ca/en/home/services/advisory/deal-advisory/creditorlinks/travel-brands.html
Compagnie de Tabac Dynasty Inc.,2015-06-04,PricewaterhouseCoopers Inc.,Christian Bourque,514-205-5434,http://www.pwc.com/ca/en/services/insolvency-assignments/tabacdynasty.html
"Sécur Finance Investissements 700 Inc. , Services Financiers Sécur Finance Inc.",2015-06-08,Deloitte Restructuring Inc.,Martin Franco,514-393-8474,http://www.insolvencies.deloitte.ca/fr-ca/Pages/Secur-Finance_fr.aspx
